10,128,0.001828
100,128,0.029128
1000,128,0.034506
5000,128,0.037947
10000,128,0.034707
20000,128,0.037455
40000,128,0.037441
60000,128,0.045518
80000,128,0.040702
100000,128,0.054263
150000,128,0.049607
200000,128,0.069466
500000,128,0.087705
700000,128,0.095840
1000000,128,0.121084
1200000,128,0.141463
1500000,128,0.155003
1700000,128,0.182017
2000000,128,0.198663
2300000,128,0.220122
2500000,128,0.236948
2750000,128,0.253806
3000000,128,0.276120
3500000,128,0.321220
4000000,128,0.354916
4500000,128,0.400024
5000000,128,0.439718
