10,256,0.000715
100,256,0.036320
1000,256,0.064616
5000,256,0.070369
10000,256,0.065079
20000,256,0.072278
40000,256,0.080425
60000,256,0.080817
80000,256,0.082524
100000,256,0.075661
150000,256,0.097635
200000,256,0.089526
500000,256,0.111515
700000,256,0.139564
1000000,256,0.149381
1200000,256,0.173409
1500000,256,0.193539
1700000,256,0.193982
2000000,256,0.212252
2300000,256,0.254113
2500000,256,0.257598
2750000,256,0.283944
3000000,256,0.308017
3500000,256,0.341533
4000000,256,0.388605
4500000,256,0.423392
5000000,256,0.459957
