10,16,0.001471
100,16,0.001190
1000,16,0.002749
5000,16,0.002738
10000,16,0.002836
20000,16,0.003403
40000,16,0.005132
60000,16,0.007788
80000,16,0.007915
100000,16,0.008799
150000,16,0.013913
200000,16,0.019343
500000,16,0.035025
700000,16,0.048123
1000000,16,0.078699
1200000,16,0.095711
1500000,16,0.135296
1700000,16,0.131787
2000000,16,0.154566
2300000,16,0.179004
2500000,16,0.193999
2750000,16,0.206295
3000000,16,0.224096
3500000,16,0.262382
4000000,16,0.305218
4500000,16,0.408804
5000000,16,0.408587
