10,32,0.000658
100,32,0.006960
1000,32,0.006272
5000,32,0.006014
10000,32,0.004933
20000,32,0.008634
40000,32,0.011238
60000,32,0.015673
80000,32,0.018369
100000,32,0.016276
150000,32,0.021649
200000,32,0.026727
500000,32,0.052089
700000,32,0.076256
1000000,32,0.099546
1200000,32,0.117410
1500000,32,0.140051
1700000,32,0.160052
2000000,32,0.183394
2300000,32,0.211053
2500000,32,0.239067
2750000,32,0.251639
3000000,32,0.274056
3500000,32,0.309230
4000000,32,0.367664
4500000,32,0.403997
5000000,32,0.414518
