10,512,0.001972
100,512,0.032248
1000,512,0.133664
5000,512,0.142050
10000,512,0.131190
20000,512,0.128211
40000,512,0.130115
60000,512,0.142555
80000,512,0.151328
100000,512,0.150210
150000,512,0.171776
200000,512,0.143773
500000,512,0.186353
700000,512,0.200447
1000000,512,0.196738
1200000,512,0.247960
1500000,512,0.268409
1700000,512,0.258294
2000000,512,0.281944
2300000,512,0.303601
2500000,512,0.321222
2750000,512,0.336065
3000000,512,0.354601
3500000,512,0.381513
4000000,512,0.426566
4500000,512,0.464319
5000000,512,0.521520
