10,64,0.001852
100,64,0.016903
1000,64,0.018487
5000,64,0.025395
10000,64,0.023548
20000,64,0.020879
40000,64,0.020915
60000,64,0.024550
80000,64,0.025549
100000,64,0.027088
150000,64,0.031508
200000,64,0.041258
500000,64,0.064322
700000,64,0.084178
1000000,64,0.112415
1200000,64,0.131023
1500000,64,0.150540
1700000,64,0.157711
2000000,64,0.184852
2300000,64,0.212355
2500000,64,0.233168
2750000,64,0.249565
3000000,64,0.273918
3500000,64,0.312625
4000000,64,0.344887
4500000,64,0.396909
5000000,64,0.432118
