10,48,0.000686
100,48,0.009378
1000,48,0.007345
5000,48,0.013055
10000,48,0.019516
20000,48,0.015180
40000,48,0.013074
60000,48,0.017630
80000,48,0.023172
100000,48,0.021786
150000,48,0.028795
200000,48,0.033311
500000,48,0.060678
700000,48,0.071485
1000000,48,0.097112
1200000,48,0.121376
1500000,48,0.147907
1700000,48,0.161544
2000000,48,0.188904
2300000,48,0.213346
2500000,48,0.227497
2750000,48,0.257600
3000000,48,0.265629
3500000,48,0.329322
4000000,48,0.363595
4500000,48,0.421657
5000000,48,0.457864
