10,24,0.001724
100,24,0.004475
1000,24,0.003348
5000,24,0.006205
10000,24,0.006872
20000,24,0.008269
40000,24,0.007486
60000,24,0.008392
80000,24,0.012719
100000,24,0.016076
150000,24,0.019936
200000,24,0.026140
500000,24,0.055823
700000,24,0.076371
1000000,24,0.098591
1200000,24,0.126131
1500000,24,0.142857
1700000,24,0.155392
2000000,24,0.183418
2300000,24,0.215936
2500000,24,0.230120
2750000,24,0.257299
3000000,24,0.275717
3500000,24,0.329251
4000000,24,0.365890
4500000,24,0.413965
5000000,24,0.462950
